positionId,symbol,mint,entryPrice,exitPrice,exitReason,realizedPnlSol,entrySol,entryAt,exitAt,peakPrice,troughPrice,peakAt,troughAt,entryToExitPct,peakPct,troughPct
paper-HMJKARkqpNxKfxF6kAayrGCBozcupHX3GrZ8bhvWpump-1782059570702,RET,HMJKARkqpNxKfxF6kAayrGCBozcupHX3GrZ8bhvWpump,2.21865548131755e-7,1.74117528333449e-7,trailing_stop,-0.00559905261272376,0.02376,1782059570702,1782059593747,2.26056816007751e-7,1.82548542775308e-7,1782059589745,1782059593747,-21.52,1.89,-17.72
paper-GDShNPDh22CpeUruKJ7uxnXEcxptU4dtjFymvorTpump-1782058462259,WCANIME,GDShNPDh22CpeUruKJ7uxnXEcxptU4dtjFymvorTpump,2.26280504452271e-7,2.26521246295415e-7,trailing_stop,-0.000594179871306003,0.02376,1782058462259,1782058729517,2.86547587540993e-7,1.87132762840298e-7,1782058701511,1782058477466,0.11,26.63,-17.30
paper-EZTgySaSt3Skg4NDkZHFaGj6dFST45cNfYgxf1o7pump-1782056871024,T0K,EZTgySaSt3Skg4NDkZHFaGj6dFST45cNfYgxf1o7pump,2.24945765262085e-7,1.70228622080459e-7,hard_stop,-0.00624780285017307,0.02376,1782056871024,1782056927101,2.39300649613172e-7,1.78648480446888e-7,1782056919101,1782056927101,-24.32,6.38,-20.58
paper-31mYWYLzSuU16bSsGYVegdM9FmNRBUoVh34Msv9cpump-1782053795457,BUGD,31mYWYLzSuU16bSsGYVegdM9FmNRBUoVh34Msv9cpump,1.90812289300177e-7,2.71581458229985e-8,hard_stop,-0.0204663332952811,0.02376,1782053795457,1782053798369,1.90812289300177e-7,3.19168724499764e-8,1782053795457,1782053798369,-85.77,0.00,-83.27
paper-6aEd5P4LhxszBg23vMbBLRScZLdxbGVPDmRVbnfqpump-1782052748562,CLUCK,6aEd5P4LhxszBg23vMbBLRScZLdxbGVPDmRVbnfqpump,1.63175735306977e-7,2.60966188185044e-8,hard_stop,-0.0200590387371832,0.02376,1782052748562,1782052848141,1.81954214409691e-7,3.02244960451829e-8,1782052826136,1782052848141,-84.01,11.51,-81.48
paper-78G9nhe8E9xLFwdS6Utc2aSRXjxCkDyYE2tiaKNBpump-1782051247390,Fukumaru,78G9nhe8E9xLFwdS6Utc2aSRXjxCkDyYE2tiaKNBpump,1.82487271768592e-7,1.74303035062797e-7,trailing_stop,-0.001656642566337,0.02376,1782051247390,1782051557872,2.17260217606652e-7,1.68751141186306e-7,1782051401837,1782051291825,-4.48,19.05,-7.53
paper-ADPHGyCzSCPJFw3KjjAC8qnfGi5LtvTvVg3Wxi6Fpump-1782047795528,DUCKZ,ADPHGyCzSCPJFw3KjjAC8qnfGi5LtvTvVg3Wxi6Fpump,1.71184205216603e-7,1.49507744204241e-7,trailing_stop,-0.00354908973639572,0.02376,1782047795528,1782047962955,1.84249377846956e-7,1.5632113178626e-7,1782047932945,1782047962955,-12.66,7.63,-8.68
paper-6MQCTQf8Mo7pCwvFbdPsWG3L4UoCFy2emcFmNHeWkbSZ-1782047737034,niceh,6MQCTQf8Mo7pCwvFbdPsWG3L4UoCFy2emcFmNHeWkbSZ,1.65281347277121e-7,1.55993060188739e-7,trailing_stop,-0.00191926198624748,0.02376,1782047737034,1782047826928,2.1399624901231e-7,1.57276204940895e-7,1782047790922,1782047764919,-5.62,29.47,-4.84
paper-jHe4orope7G2BXMFnzfheDTvF4kzz1avCEu7ohFpump-1782046447593,MOOCTO,jHe4orope7G2BXMFnzfheDTvF4kzz1avCEu7ohFpump,1.79864604193749e-7,2.60264379060195e-8,hard_stop,-0.0204114645415059,0.02376,1782046447593,1782046690616,1.82415181995165e-7,3.0520806929048e-8,1782046488563,1782046690616,-85.53,1.42,-83.03
paper-7SbC5RmmqJVbgJk5Ty9Pi1EEVnS9Yszwvy8eL71rpump-1782044078171,Solgames,7SbC5RmmqJVbgJk5Ty9Pi1EEVnS9Yszwvy8eL71rpump,1.41828232197071e-7,1.29623163052877e-7,trailing_stop,-0.00261022259410784,0.02376,1782044078171,1782044139844,1.61643993870533e-7,1.35385121221874e-7,1782044117840,1782044139844,-8.61,13.97,-4.54
paper-29mqw9EmRr2yu5U1wUBKbmTNxBxkpCAHrnizLWVKpump-1782023257773,Cucks,29mqw9EmRr2yu5U1wUBKbmTNxBxkpCAHrnizLWVKpump,2.0621412010422e-7,1.77268992292716e-7,trailing_stop,-0.00386700139073435,0.02376,1782023257773,1782023280699,2.23303791803163e-7,1.85419028817764e-7,1782023274698,1782023280699,-14.04,8.29,-10.08
