id,symbol,mint,mode,status,entrySol,entryPrice,entryAt,exitPrice,exitAt,exitReason,realizedPnlSol,amountTokens
paper-HMJKARkqpNxKfxF6kAayrGCBozcupHX3GrZ8bhvWpump-1782059570702,RET,HMJKARkqpNxKfxF6kAayrGCBozcupHX3GrZ8bhvWpump,paper,closed,0.02376,2.21865548131755e-7,1782059570702,1.74117528333449e-7,1782059593747,trailing_stop,-0.00559905261272376,0
paper-GDShNPDh22CpeUruKJ7uxnXEcxptU4dtjFymvorTpump-1782058462259,WCANIME,GDShNPDh22CpeUruKJ7uxnXEcxptU4dtjFymvorTpump,paper,closed,0.02376,2.26280504452271e-7,1782058462259,2.26521246295415e-7,1782058729517,trailing_stop,-0.000594179871306003,0
paper-EZTgySaSt3Skg4NDkZHFaGj6dFST45cNfYgxf1o7pump-1782056871024,T0K,EZTgySaSt3Skg4NDkZHFaGj6dFST45cNfYgxf1o7pump,paper,closed,0.02376,2.24945765262085e-7,1782056871024,1.70228622080459e-7,1782056927101,hard_stop,-0.00624780285017307,0
paper-31mYWYLzSuU16bSsGYVegdM9FmNRBUoVh34Msv9cpump-1782053795457,BUGD,31mYWYLzSuU16bSsGYVegdM9FmNRBUoVh34Msv9cpump,paper,closed,0.02376,1.90812289300177e-7,1782053795457,2.71581458229985e-8,1782053798369,hard_stop,-0.0204663332952811,0
paper-6aEd5P4LhxszBg23vMbBLRScZLdxbGVPDmRVbnfqpump-1782052748562,CLUCK,6aEd5P4LhxszBg23vMbBLRScZLdxbGVPDmRVbnfqpump,paper,closed,0.02376,1.63175735306977e-7,1782052748562,2.60966188185044e-8,1782052848141,hard_stop,-0.0200590387371832,0
paper-78G9nhe8E9xLFwdS6Utc2aSRXjxCkDyYE2tiaKNBpump-1782051247390,Fukumaru,78G9nhe8E9xLFwdS6Utc2aSRXjxCkDyYE2tiaKNBpump,paper,closed,0.02376,1.82487271768592e-7,1782051247390,1.74303035062797e-7,1782051557872,trailing_stop,-0.001656642566337,0
paper-ADPHGyCzSCPJFw3KjjAC8qnfGi5LtvTvVg3Wxi6Fpump-1782047795528,DUCKZ,ADPHGyCzSCPJFw3KjjAC8qnfGi5LtvTvVg3Wxi6Fpump,paper,closed,0.02376,1.71184205216603e-7,1782047795528,1.49507744204241e-7,1782047962955,trailing_stop,-0.00354908973639572,0
paper-6MQCTQf8Mo7pCwvFbdPsWG3L4UoCFy2emcFmNHeWkbSZ-1782047737034,niceh,6MQCTQf8Mo7pCwvFbdPsWG3L4UoCFy2emcFmNHeWkbSZ,paper,closed,0.02376,1.65281347277121e-7,1782047737034,1.55993060188739e-7,1782047826928,trailing_stop,-0.00191926198624748,0
paper-jHe4orope7G2BXMFnzfheDTvF4kzz1avCEu7ohFpump-1782046447593,MOOCTO,jHe4orope7G2BXMFnzfheDTvF4kzz1avCEu7ohFpump,paper,closed,0.02376,1.79864604193749e-7,1782046447593,2.60264379060195e-8,1782046690616,hard_stop,-0.0204114645415059,0
paper-7SbC5RmmqJVbgJk5Ty9Pi1EEVnS9Yszwvy8eL71rpump-1782044078171,Solgames,7SbC5RmmqJVbgJk5Ty9Pi1EEVnS9Yszwvy8eL71rpump,paper,closed,0.02376,1.41828232197071e-7,1782044078171,1.29623163052877e-7,1782044139844,trailing_stop,-0.00261022259410784,0
